time,algoritimo,server,carId, CoordX, CoordY, idObj,SizeObj,obDetect,prioridadeVideo,deadline,coordObjX,coordObjY,
37292,2,server1,28,111516,779.8,173,2.45616,1,1,109547,371583,654811,
29.29,2,server1,4,298358,779.8,174,1.57001,2,2,150591,239883,836434,
89142,2,server1,5,430593,773.4,174,1.57001,2,2,210443,239883,836434,
28305,2,server1,8,290124,776.6,174,1.57001,2,2,149606,239883,836434,
28322,2,server1,12,208602,779.8,174,1.57001,2,2,149623,239883,836434,
28324,2,server1,24,49.0886,779.8,174,1.57001,2,2,149625,239883,836434,
29.29,2,server1,4,298358,779.8,175,0.608646,1,2,152612,195.36,789.77,
89142,2,server1,5,430593,773.4,175,0.608646,1,2,212464,195.36,789.77,
28323,2,server1,8,291764,776.6,175,0.608646,1,2,151645,195.36,789.77,
28324,2,server1,24,49.0886,779.8,175,0.608646,1,2,151646,195.36,789.77,
28326,2,server1,28,30.1772,779.8,175,0.608646,1,2,151648,195.36,789.77,
29277,2,server1,18,770.2,148429,176,0.994387,2,2,168853,615676,-51551,
28577,2,server1,22,770.2,72.3345,176,0.994387,2,2,168153,615676,-51551,
29277,2,server1,18,770.2,148429,177,1.15244,2,2,168859,916798,-113228,
28583,2,server1,22,770.2,72.3345,177,1.15244,2,2,168165,916798,-113228,
28883,2,server1,24,52.7736,779.8,178,2.37167,2,2,143592,-57.8737,792346,
28712,2,server1,28,30.4755,779.8,178,2.37167,2,2,143421,-57.8737,792346,
29.29,2,server1,4,298358,779.8,179,2.78211,1,2,151166,310164,494831,
89818,2,server1,5,421129,773.4,179,2.78211,1,2,211694,310164,494831,
28881,2,server1,8,299995,776.6,179,2.78211,1,2,150757,310164,494831,
28882,2,server1,12,217.05,779.8,179,2.78211,1,2,150758,310164,494831,
40244,2,server1,20,245061,779.8,179,2.78211,1,2,162.12,310164,494831,
42144,2,server1,24,244338,779.8,179,2.78211,1,2,164.02,310164,494831,
29.29,2,server1,4,298358,779.8,180,0.826744,2,2,132173,178795,534641,
28887,2,server1,8,299995,776.6,180,0.826744,2,2,131.77,178795,534641,
28893,2,server1,12,217.05,779.8,180,0.826744,2,2,131776,178795,534641,
28888,2,server1,28,30.7925,779.8,180,0.826744,2,2,131771,178795,534641,
30247,2,server1,6,770.2,318461,181,0.986711,2,1,119.42,738904,207496,
29288,2,server1,14,770.2,210739,181,0.986711,2,1,118461,738904,207496,
29277,2,server1,18,770.2,148429,181,0.986711,2,1,118.45,738904,207496,
29322,2,server1,26,770.2,41.5339,181,0.986711,2,1,118495,738904,207496,
29217,2,server1,24,54.7291,779.8,182,0.83833,2,2,171.39,-95405,699944,
29288,2,server1,14,770.2,210739,183,1.28448,2,1,118466,521.69,363501,
40911,2,server1,26,770.2,195671,183,1.28448,2,1,130089,521.69,363501,
48255,2,server1,30,770.2,205695,183,1.28448,2,1,137433,521.69,363501,
29288,2,server1,14,770.2,210739,184,1.1722,2,2,149565,947502,13.9785,
29277,2,server1,22,770.2,81.7531,184,1.1722,2,2,149554,947502,13.9785,
29322,2,server1,26,770.2,41.5339,184,1.1722,2,2,149599,947502,13.9785,
30247,2,server1,6,770.2,318461,185,0.442833,2,2,148535,629526,368387,
29.29,2,server1,18,770.2,148429,185,0.442833,2,2,147578,629526,368387,
39205,2,server1,30,770.2,103588,185,0.442833,2,2,157493,629526,368387,
50317,2,server1,2,770.2,599924,186,1.95448,0,2,155607,553.32,720413,
89142,2,server1,5,430593,773.4,186,1.95448,0,2,194432,553.32,720413,
53201,2,server1,6,773.4,634.27,186,1.95448,0,2,158491,553.32,720413,
35299,2,server1,8,405289,776.6,186,1.95448,0,2,140589,553.32,720413,
61274,2,server1,10,770.2,712998,186,1.95448,0,2,166564,553.32,720413,
59141,2,server1,14,773.4,687492,186,1.95448,0,2,164431,553.32,720413,
38217,2,server1,16,306209,779.8,186,1.95448,0,2,143507,553.32,720.4,
52.27,2,server1,18,770.2,525929,186,1.95448,0,2,157.56,553.32,720413,
